,ic_id,ic_step,ic_maker,ic_category,ic_type1,ic_type2,ic_data,ic_time
392,26622,step4,samsung,GalaxyFolder2,레드,all,7,20210405114318
393,27548,step4,lg,LG CLASS,실버,all,1,20210405114318
394,24648,step4,apple,iphone6s,골드,all,34,20210405114318
395,25507,step4,lg,V40 ThinQ,카민 레드,all,6,20210405114318
396,28566,step4,apple,iphone6s Plus,스페이스 그레이,128,2,20210405114318
397,27810,step4,apple,iphone12 Pro,실버,512,3,20210405114318
398,26497,step3,lg,V20,64,,11,20210405114318
399,27444,step4,samsung,GalaxyFolder2,블랙,16,8,20210405114318
400,27371,step4,samsung,Galaxy A51,프리즘 큐브 핑크,128,1,20210405114318
401,27247,step3,apple,iphone5,64,,2,20210405114318
402,27512,step4,samsung,GalaxyS8,코랄 블루,all,7,20210405114318
403,28376,step4,samsung,GalaxyNote5,블랙,64,2,20210405114318
404,27547,step4,lg,LG CLASS,실버,16,1,20210405114318
405,25506,step4,lg,V40 ThinQ,카민 레드,128,6,20210405114318
406,26498,step2,lg,X4,X4,,37,20210405114318
407,26499,step2,lg,X4 2019,X4 2019,,26,20210405114318
408,21593,step2_group,samsung,j_series,j_series,,178,20210405114318
409,28279,step3,samsung,Galaxy A7,16,,1,20210405114318
410,27443,step4,samsung,Galaxy A80,팬텀 블랙,all,4,20210405114318
411,24649,step3,apple,iphone6,16,,40,20210405114318
412,26582,step3,samsung,GalaxyS5,32,,5,20210405114318
413,25531,step3,apple,iphone11 Pro Max,512,,12,20210405114318
414,27612,step4,apple,iphone12,화이트,all,78,20210405114318
415,27611,step4,apple,iphone12,블랙,all,76,20210405114318
416,21587,step2,samsung,GalaxyNote2,GalaxyNote2,,30,20210405114318
417,27206,step3,lg,G3,32,,2,20210405114318
418,28324,step3,samsung,GalaxyZoom2,16,,1,20210405114318
419,23688,step4,samsung,Galaxy A8 2018,골드,32,2,20210405114318
420,28151,step4,samsung,GalaxyS6 Edge,그린 에메랄드,all,2,20210405114318
421,21581,step3,samsung,GalaxyNote4,32,,14,20210405114318
422,21580,step2,samsung,GalaxyNote4,GalaxyNote4,,44,20210405114318
423,21579,step4,samsung,GalaxyNote5,실버,all,17,20210405114318
424,21578,step4,samsung,GalaxyNote5,골드,all,56,20210405114318
425,26674,step2,samsung,Galaxy J7 2017,Galaxy J7 2017,,9,20210405114318
426,26671,step2,samsung,GalaxyGrand,GalaxyGrand,,12,20210405114318
427,28567,step4,apple,iphone6s Plus,스페이스 그레이,all,4,20210405114318
428,21572,step4,samsung,GalaxyNote5,골드,64,12,20210405114318
429,21570,step3,samsung,GalaxyNote5,64,,59,20210405114318
430,26669,step4,apple,iphoneSE,로즈골드,128,9,20210405114318
431,21568,step4,samsung,GalaxyNote5,골드,32,34,20210405114318
432,28521,step4,apple,iphone5s,실버,32,1,20210405114318
433,26648,step4,samsung,GalaxyNote8,미드나잇 블랙,all,6,20210405114318
434,21565,step3,samsung,GalaxyNote5,32,,75,20210405114318
435,21564,step2,samsung,GalaxyNote5,GalaxyNote5,,193,20210405114318
436,27609,step4,apple,iphone12,그린,256,4,20210405114318
437,27610,step4,apple,iphone12,블루,256,9,20210405114318
438,26180,step4,samsung,Galaxy Wide4,블랙,all,18,20210405114318
439,26415,step2,samsung,GalaxyW,GalaxyW,,7,20210405114318
440,25310,step2,samsung,Galaxy J5 2016,Galaxy J5 2016,,9,20210405114318
441,28500,step4,samsung,Galaxy A5 2016,블랙,16,1,20210405114318
442,27608,step4,apple,iphone12,레드,256,5,20210405114318
443,21555,step3,samsung,GalaxyNote7,64,,23,20210405114318
444,21554,step2,samsung,GalaxyNote7,GalaxyNote7,,33,20210405114318
445,25985,step4,samsung,Galaxy S20 Plus,클라우드 화이트,256,5,20210405114318
446,28578,step4,samsung,GalaxyWide3,블루 실버,all,1,20210405114318
447,28077,step3,samsung,Galaxy S21,256,,155,20210405114318
448,21550,step3,samsung,GalaxyNoteFE,64,,22,20210405114318
449,3629,step2,lg,SmartFolder,SmartFolder,,32,20210405114318
450,21549,step2,samsung,GalaxyNoteFE,GalaxyNoteFE,,40,20210405114318
451,26661,step2,lg,Wine Smart Jazz,Wine Smart Jazz,,4,20210405114318
452,24077,step4,samsung,GalaxyNote20,미스틱 브론즈,256,32,20210405114318
453,26441,step2,samsung,Galaxy J3 2017,Galaxy J3 2017,,6,20210405114318
454,27593,step3,apple,iphone12,64,,87,20210405114318
455,21541,step3,samsung,GalaxyNote8,256,,48,20210405114318
456,23363,step4,samsung,GalaxyS9,미드나잇 블랙,all,1,20210405114318
457,27442,step4,samsung,Galaxy A80,팬텀 블랙,128,4,20210405114318
458,21538,step4,samsung,GalaxyNote8,오키드 그레이,64,51,20210405114318
459,28579,step3,samsung,GalaxyW,16,,1,20210405114318
460,28076,step2,samsung,Galaxy S21,Galaxy S21,,313,20210405114318
461,21536,step3,samsung,GalaxyNote8,64,,330,20210405114318
462,21535,step2,samsung,GalaxyNote8,GalaxyNote8,,484,20210405114318
463,21534,step4,samsung,GalaxyNote9,메탈릭 코퍼,all,51,20210405114318
464,21533,step4,samsung,GalaxyNote9,라벤더 퍼플,all,15,20210405114318
465,21532,step4,samsung,GalaxyNote9,오션 블루,all,6,20210405114318
466,28278,step4,samsung,GalaxyNote7,실버,all,6,20210405114318
467,27203,step4,samsung,Galaxy A8 2018,블랙,all,6,20210405114318
468,24617,step4,apple,iphone7,RED,128,24,20210405114318
469,21528,step4,samsung,GalaxyNote9,오션 블루,512,5,20210405114318
470,21527,step3,samsung,GalaxyNote9,512,,68,20210405114318
